Order ID,Date,Year,Quarter,Month,Week,Region,State,City,Product Category,Product Subcategory,Product Name,Sales Channel,Customer Segment,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Profit Margin,Marketing Channel,Payment Method
20001,2024-02-05,2024,Q1,Feb,6,West,Colorado,Denver,Electronics,Tablet,Tab Elite,Retail,Corporate,7,1151,0.15,6848.45,4346.86,2501.59,0.3653,Social Media,Cash
20002,2024-02-28,2024,Q1,Feb,9,Northeast,Massachusetts,Boston,Furniture,Chair,ComfortSeat,Retail,Corporate,5,833,0.05,3956.75,2555.22,1401.53,0.3542,Email,Cash
20003,2024-03-12,2024,Q1,Mar,11,Northeast,Pennsylvania,Philadelphia,Accessories,Keyboard,KeyPro,Distributor,Small Business,19,632,0.05,11407.6,7312.73,4094.87,0.359,Google Ads,Card
20004,2024-01-20,2024,Q1,Jan,3,Midwest,Michigan,Detroit,Electronics,Phone,Galaxy Max,Online,Consumer,11,265,0.1,2623.5,1519.31,1104.19,0.4209,Google Ads,Cash
20005,2024-04-05,2024,Q2,Apr,14,Northeast,New York,New York,Furniture,Desk,WorkDesk Pro,Online,Small Business,6,604,0.0,3624.0,2032.77,1591.23,0.4391,Social Media,Transfer
20006,2024-03-20,2024,Q1,Mar,12,West,Colorado,Denver,Furniture,Chair,ComfortSeat,Online,Corporate,13,795,0.1,9301.5,6837.52,2463.98,0.2649,Social Media,Cash
20007,2024-08-08,2024,Q3,Aug,32,South,Georgia,Atlanta,Furniture,Desk,WorkDesk Pro,Distributor,Small Business,14,1117,0.1,14074.2,8465.16,5609.04,0.3985,Affiliate,Transfer
20008,2024-01-03,2024,Q1,Jan,1,West,California,Los Angeles,Furniture,Chair,ComfortSeat,Retail,Small Business,12,74,0.05,843.6,589.97,253.63,0.3007,Google Ads,Transfer
20009,2024-08-21,2024,Q3,Aug,34,West,California,Los Angeles,Accessories,Keyboard,KeyPro,Retail,Small Business,16,1046,0.15,14225.6,8349.5,5876.1,0.4131,Direct,Card
20010,2024-03-25,2024,Q1,Mar,13,South,Texas,Dallas,Electronics,Tablet,Tab Elite,Online,Consumer,7,1125,0.1,7087.5,4174.62,2912.88,0.411,Affiliate,Digital Wallet
