Order ID,Date,Year,Quarter,Month,Region,State,City,Product Category,Product Subcategory,Product Name,Brand,Sales Channel,Customer Segment,Sales Rep,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Payment Method,Customer Satisfaction
40001,2024-01-18,2024,Q1,Jan,West,Colorado,Denver,Electronics,Phone,Galaxy Max,Orbit,Distributor,Small Business,Jessica Lee,14,766,0.15,9115.4,5126.52,3988.88,Card,Unsatisfied
40002,2024-08-11,2024,Q3,Aug,Northeast,Pennsylvania,Philadelphia,Furniture,Cabinet,StoragePlus,Apex,Online,Corporate,John Miller,9,863,0.05,7378.65,5270.55,2108.1,Bank Transfer,Satisfied
40003,2024-06-05,2024,Q2,Jun,South,Texas,Dallas,Furniture,Chair,ComfortSeat,Nimbus,Online,Small Business,John Miller,17,563,0.15,8135.35,4829.59,3305.76,Cash,Satisfied
40004,2024-05-06,2024,Q2,May,Northeast,Pennsylvania,Philadelphia,Electronics,Phone,Galaxy Max,Nimbus,Distributor,Consumer,Sarah Lopez,16,268,0.1,3859.2,2323.53,1535.67,Cash,Very Satisfied
40005,2024-05-05,2024,Q2,May,Midwest,Illinois,Chicago,Electronics,Tablet,Tab Elite,Orbit,Distributor,Corporate,Jessica Lee,1,655,0.1,589.5,375.61,213.89,Digital Wallet,Satisfied
40006,2024-08-27,2024,Q3,Aug,West,Colorado,Denver,Electronics,Tablet,Tab Elite,NovaTech,Distributor,Consumer,Emily Carter,12,51,0.15,520.2,309.35,210.85,Bank Transfer,Satisfied
40007,2024-10-10,2024,Q4,Oct,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Nimbus,Distributor,Consumer,Emily Carter,17,268,0.15,3872.6,2165.4,1707.2,Bank Transfer,Unsatisfied
40008,2024-02-27,2024,Q1,Feb,Northeast,New York,New York,Furniture,Cabinet,StoragePlus,NovaTech,Retail,Consumer,Sarah Lopez,18,538,0.0,9684.0,7160.82,2523.18,Bank Transfer,Unsatisfied
40009,2024-05-08,2024,Q2,May,South,Florida,Miami,Furniture,Cabinet,StoragePlus,Vertex,Retail,Corporate,Emily Carter,11,1108,0.0,12188.0,8084.77,4103.23,Bank Transfer,Neutral
40010,2024-06-29,2024,Q2,Jun,West,Washington,Seattle,Furniture,Chair,ComfortSeat,Apex,Distributor,Consumer,Jessica Lee,5,265,0.05,1258.75,709.4,549.35,Card,Neutral
40011,2024-01-20,2024,Q1,Jan,West,Washington,Seattle,Furniture,Chair,ComfortSeat,NovaTech,Online,Small Business,John Miller,9,604,0.0,5436.0,3659.9,1776.1,Digital Wallet,Satisfied
40012,2024-09-07,2024,Q3,Sep,West,California,Los Angeles,Furniture,Chair,ComfortSeat,Vertex,Distributor,Consumer,Michael Brown,8,704,0.1,5068.8,2954.52,2114.28,Card,Satisfied
40013,2024-01-10,2024,Q1,Jan,Northeast,Pennsylvania,Philadelphia,Furniture,Chair,ComfortSeat,Nimbus,Distributor,Corporate,Michael Brown,12,1080,0.0,12960.0,7651.46,5308.54,Digital Wallet,Neutral
40014,2024-11-14,2024,Q4,Nov,Northeast,New York,New York,Furniture,Cabinet,StoragePlus,Orbit,Online,Consumer,Emily Carter,13,803,0.15,8873.15,5671.18,3201.97,Bank Transfer,Very Satisfied
40015,2024-06-28,2024,Q2,Jun,South,Florida,Miami,Accessories,Mouse,ClickPro,NovaTech,Distributor,Corporate,Jessica Lee,1,61,0.15,51.85,30.68,21.17,Bank Transfer,Very Satisfied
40016,2024-07-25,2024,Q3,Jul,West,Colorado,Denver,Electronics,Phone,Galaxy Max,Apex,Retail,Small Business,Michael Brown,15,551,0.0,8265.0,6068.79,2196.21,Card,Neutral
40017,2024-03-28,2024,Q1,Mar,Midwest,Ohio,Columbus,Furniture,Chair,ComfortSeat,Apex,Retail,Consumer,Jessica Lee,3,724,0.05,2063.4,1388.18,675.22,Cash,Unsatisfied
40018,2024-04-21,2024,Q2,Apr,West,Washington,Seattle,Accessories,Mouse,ClickPro,NovaTech,Retail,Corporate,Emily Carter,11,765,0.0,8415.0,4705.92,3709.08,Card,Neutral
40019,2024-01-25,2024,Q1,Jan,West,Washington,Seattle,Furniture,Chair,ComfortSeat,NovaTech,Distributor,Small Business,John Miller,8,669,0.15,4549.2,3080.0,1469.2,Card,Neutral
40020,2024-01-11,2024,Q1,Jan,South,Texas,Dallas,Furniture,Desk,WorkDesk Pro,Apex,Online,Consumer,Michael Brown,14,654,0.1,8240.4,4817.63,3422.77,Digital Wallet,Neutral
