Order ID,Date,Year,Quarter,Month,Week,Region,State,Product Category,Product Subcategory,Sales Channel,Customer Segment,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Profit Margin,Marketing Channel
50001,2024-03-19,2024,Q1,Mar,12,Midwest,Ohio,Accessories,Mouse,Retail,Corporate,9,151,0.1,1223.1,840.69,382.41,0.3127,Direct
50002,2024-05-17,2024,Q2,May,20,South,Georgia,Accessories,Keyboard,Retail,Small Business,10,369,0.0,3690.0,2069.24,1620.76,0.4392,Google Ads
50003,2024-06-23,2024,Q2,Jun,25,West,Washington,Electronics,Tablet,Distributor,Small Business,9,755,0.1,6115.5,4301.51,1813.99,0.2966,Google Ads
50004,2024-08-31,2024,Q3,Aug,35,Midwest,Illinois,Electronics,Phone,Distributor,Consumer,8,1060,0.0,8480.0,5209.41,3270.59,0.3857,Email
50005,2024-09-25,2024,Q3,Sep,39,Northeast,Pennsylvania,Accessories,Mouse,Retail,Corporate,1,847,0.0,847.0,536.06,310.94,0.3671,Direct
50006,2024-06-23,2024,Q2,Jun,25,West,Washington,Electronics,Phone,Distributor,Small Business,8,1105,0.1,7956.0,5355.67,2600.33,0.3268,Affiliate
50007,2024-03-10,2024,Q1,Mar,10,West,Washington,Furniture,Cabinet,Distributor,Corporate,19,150,0.05,2707.5,1506.53,1200.97,0.4436,Affiliate
50008,2024-11-26,2024,Q4,Nov,48,Northeast,Pennsylvania,Furniture,Chair,Distributor,Corporate,9,894,0.05,7643.7,5187.26,2456.44,0.3214,Social Media
50009,2024-02-02,2024,Q1,Feb,5,West,California,Electronics,Tablet,Retail,Corporate,21,594,0.05,11850.3,8874.51,2975.79,0.2511,Direct
50010,2024-08-18,2024,Q3,Aug,33,Northeast,Pennsylvania,Electronics,Tablet,Retail,Consumer,16,320,0.0,5120.0,2969.12,2150.88,0.4201,Google Ads
50011,2024-02-20,2024,Q1,Feb,8,Midwest,Michigan,Electronics,Phone,Retail,Consumer,16,350,0.05,5320.0,3319.35,2000.65,0.3761,Social Media
50012,2024-11-29,2024,Q4,Nov,48,West,California,Accessories,Mouse,Retail,Small Business,3,797,0.15,2032.35,1314.39,717.96,0.3533,Email
50013,2024-07-06,2024,Q3,Jul,27,South,Florida,Furniture,Cabinet,Online,Corporate,1,1276,0.0,1276.0,934.81,341.19,0.2674,Google Ads
50014,2024-09-02,2024,Q3,Sep,36,South,Florida,Furniture,Cabinet,Online,Corporate,24,630,0.15,12852.0,8398.13,4453.87,0.3466,Social Media
50015,2024-01-09,2024,Q1,Jan,2,Northeast,Pennsylvania,Furniture,Desk,Retail,Corporate,15,65,0.0,975.0,666.17,308.83,0.3167,Affiliate
50016,2024-12-30,2024,Q4,Dec,1,Northeast,New York,Accessories,Keyboard,Online,Small Business,11,1032,0.0,11352.0,8501.76,2850.24,0.2511,Social Media
50017,2024-12-24,2024,Q4,Dec,52,West,Washington,Electronics,Laptop,Distributor,Consumer,18,535,0.05,9148.5,6230.94,2917.56,0.3189,Google Ads
50018,2024-10-22,2024,Q4,Oct,43,Midwest,Michigan,Electronics,Laptop,Online,Corporate,22,1274,0.05,26626.6,16501.12,10125.48,0.3803,Affiliate
50019,2024-03-18,2024,Q1,Mar,12,Midwest,Ohio,Accessories,Headphones,Retail,Corporate,20,865,0.0,17300.0,12661.85,4638.15,0.2681,Email
50020,2024-11-01,2024,Q4,Nov,44,South,Texas,Electronics,Tablet,Distributor,Small Business,9,732,0.05,6258.6,4057.81,2200.79,0.3516,Email
50021,2024-05-22,2024,Q2,May,21,Midwest,Ohio,Electronics,Laptop,Retail,Small Business,24,1241,0.0,29784.0,19397.95,10386.05,0.3487,Email
50022,2024-02-28,2024,Q1,Feb,9,Midwest,Ohio,Furniture,Desk,Retail,Small Business,20,481,0.1,8658.0,5297.76,3360.24,0.3881,Direct
50023,2024-09-06,2024,Q3,Sep,36,South,Florida,Accessories,Keyboard,Online,Corporate,13,491,0.1,5744.7,3618.84,2125.86,0.3701,Affiliate
50024,2024-02-06,2024,Q1,Feb,6,Midwest,Michigan,Furniture,Desk,Distributor,Small Business,6,732,0.1,3952.8,2483.93,1468.87,0.3716,Affiliate
50025,2024-02-11,2024,Q1,Feb,6,South,Texas,Furniture,Chair,Distributor,Small Business,1,370,0.0,370.0,211.32,158.68,0.4289,Affiliate
50026,2024-08-15,2024,Q3,Aug,33,Midwest,Michigan,Electronics,Phone,Distributor,Corporate,2,467,0.15,793.9,468.19,325.71,0.4103,Email
50027,2024-10-30,2024,Q4,Oct,44,West,Washington,Furniture,Chair,Online,Small Business,24,1172,0.0,28128.0,17109.63,11018.37,0.3917,Affiliate
50028,2024-08-23,2024,Q3,Aug,34,Midwest,Illinois,Accessories,Keyboard,Distributor,Consumer,6,558,0.05,3180.6,2002.57,1178.03,0.3704,Email
50029,2024-09-27,2024,Q3,Sep,39,South,Florida,Accessories,Mouse,Distributor,Corporate,8,743,0.15,5052.4,2860.5,2191.9,0.4338,Google Ads
50030,2024-11-23,2024,Q4,Nov,47,South,Florida,Electronics,Laptop,Online,Corporate,8,841,0.1,6055.2,3848.94,2206.26,0.3644,Email
50031,2024-01-17,2024,Q1,Jan,3,West,Colorado,Furniture,Desk,Online,Small Business,8,447,0.15,3039.6,2176.62,862.98,0.2839,Social Media
50032,2024-12-20,2024,Q4,Dec,51,Northeast,Massachusetts,Electronics,Tablet,Online,Corporate,19,111,0.0,2109.0,1348.89,760.11,0.3604,Google Ads
50033,2024-05-16,2024,Q2,May,20,Northeast,Massachusetts,Accessories,Mouse,Retail,Small Business,12,940,0.0,11280.0,8263.7,3016.3,0.2674,Email
50034,2024-04-29,2024,Q2,Apr,18,West,Colorado,Furniture,Cabinet,Online,Consumer,1,1297,0.1,1167.3,858.28,309.02,0.2647,Google Ads
50035,2024-05-13,2024,Q2,May,20,South,Georgia,Furniture,Desk,Online,Small Business,17,1072,0.05,17312.8,9843.1,7469.7,0.4315,Direct
50036,2024-03-03,2024,Q1,Mar,9,South,Georgia,Accessories,Headphones,Retail,Small Business,24,687,0.05,15663.6,9338.32,6325.28,0.4038,Direct
50037,2024-06-14,2024,Q2,Jun,24,West,Washington,Furniture,Cabinet,Online,Corporate,22,577,0.0,12694.0,8168.39,4525.61,0.3565,Google Ads
50038,2024-05-05,2024,Q2,May,18,South,Texas,Accessories,Headphones,Online,Consumer,17,487,0.1,7451.1,4835.23,2615.87,0.3511,Google Ads
50039,2024-04-11,2024,Q2,Apr,15,South,Georgia,Furniture,Cabinet,Distributor,Consumer,14,512,0.0,7168.0,4678.17,2489.83,0.3474,Affiliate
50040,2024-06-18,2024,Q2,Jun,25,Midwest,Ohio,Furniture,Cabinet,Online,Corporate,23,1238,0.15,24202.9,17063.03,7139.87,0.295,Google Ads
50041,2024-01-10,2024,Q1,Jan,2,West,Colorado,Electronics,Laptop,Distributor,Small Business,22,248,0.15,4637.6,3083.78,1553.82,0.335,Direct
50042,2024-01-28,2024,Q1,Jan,4,South,Georgia,Electronics,Phone,Distributor,Consumer,11,160,0.1,1584.0,1098.31,485.69,0.3066,Google Ads
50043,2024-09-06,2024,Q3,Sep,36,Northeast,Massachusetts,Furniture,Chair,Online,Small Business,8,912,0.1,6566.4,3634.72,2931.68,0.4465,Affiliate
50044,2024-10-11,2024,Q4,Oct,41,Northeast,Pennsylvania,Furniture,Chair,Online,Consumer,5,1219,0.05,5790.25,3196.13,2594.12,0.448,Google Ads
50045,2024-01-06,2024,Q1,Jan,1,Northeast,New York,Furniture,Chair,Online,Corporate,22,899,0.05,18789.1,13804.9,4984.2,0.2653,Email
50046,2024-04-16,2024,Q2,Apr,16,South,Georgia,Furniture,Chair,Retail,Small Business,3,738,0.05,2103.3,1378.52,724.78,0.3446,Social Media
50047,2024-01-04,2024,Q1,Jan,1,West,Washington,Accessories,Keyboard,Retail,Small Business,17,739,0.0,12563.0,7977.2,4585.8,0.365,Direct
50048,2024-07-03,2024,Q3,Jul,27,South,Georgia,Accessories,Mouse,Online,Small Business,15,329,0.05,4688.25,3172.81,1515.44,0.3232,Google Ads
50049,2024-05-11,2024,Q2,May,19,South,Georgia,Electronics,Laptop,Distributor,Small Business,19,389,0.15,6282.35,3909.02,2373.33,0.3778,Affiliate
50050,2024-08-29,2024,Q3,Aug,35,Northeast,Massachusetts,Accessories,Headphones,Distributor,Corporate,2,615,0.15,1045.5,643.47,402.03,0.3845,Social Media
50051,2024-12-12,2024,Q4,Dec,50,Northeast,New York,Electronics,Phone,Retail,Consumer,12,742,0.05,8458.8,5290.81,3167.99,0.3745,Email
50052,2024-10-21,2024,Q4,Oct,43,Midwest,Michigan,Furniture,Desk,Online,Consumer,22,1119,0.0,24618.0,14386.0,10232.0,0.4156,Email
